	subject	mask_name	score	chance_score
0	1	mofc	0.09375	0.0625
1	1	lofc	0.0625	0.0625
2	1	hp	0.109375	0.0625
3	1	dlPFC	0.109375	0.0625
4	1	FFA/PPA	0.078125	0.0625
5	2	mofc	0.078125	0.0625
6	2	lofc	0.0625	0.0625
7	2	hp	0.078125	0.0625
8	2	dlPFC	0.234375	0.0625
9	2	FFA/PPA	0.15625	0.0625
10	3	mofc	0.109375	0.0625
11	3	lofc	0.109375	0.0625
12	3	hp	0.140625	0.0625
13	3	dlPFC	0.21875	0.0625
14	3	FFA/PPA	0.109375	0.0625
15	4	mofc	0.078125	0.0625
16	4	lofc	0.078125	0.0625
17	4	hp	0.0625	0.0625
18	4	dlPFC	0.125	0.0625
19	4	FFA/PPA	0.109375	0.0625
20	5	mofc	0.125	0.0625
21	5	lofc	0.140625	0.0625
22	5	hp	0.046875	0.0625
23	5	dlPFC	0.15625	0.0625
24	5	FFA/PPA	0.078125	0.0625
25	7	mofc	0.078125	0.0625
26	7	lofc	0.203125	0.0625
27	7	hp	0.078125	0.0625
28	7	dlPFC	0.203125	0.0625
29	7	FFA/PPA	0.0625	0.0625
30	8	mofc	0.140625	0.0625
31	8	lofc	0.09375	0.0625
32	8	hp	0.046875	0.0625
33	8	dlPFC	0.234375	0.0625
34	8	FFA/PPA	0.109375	0.0625
35	9	mofc	0.1875	0.0625
36	9	lofc	0.21875	0.0625
37	9	hp	0.078125	0.0625
38	9	dlPFC	0.1875	0.0625
39	9	FFA/PPA	0.109375	0.0625
40	10	mofc	0.078125	0.0625
41	10	lofc	0.0625	0.0625
42	10	hp	0.046875	0.0625
43	10	dlPFC	0.0625	0.0625
44	10	FFA/PPA	0.046875	0.0625
45	11	mofc	0.078125	0.0625
46	11	lofc	0.078125	0.0625
47	11	hp	0.0625	0.0625
48	11	dlPFC	0.140625	0.0625
49	11	FFA/PPA	0.15625	0.0625
50	12	mofc	0.09375	0.0625
51	12	lofc	0.109375	0.0625
52	12	hp	0.140625	0.0625
53	12	dlPFC	0.15625	0.0625
54	12	FFA/PPA	0.125	0.0625
55	14	mofc	0.109375	0.0625
56	14	lofc	0.046875	0.0625
57	14	hp	0.125	0.0625
58	14	dlPFC	0.171875	0.0625
59	14	FFA/PPA	0.125	0.0625
60	15	mofc	0.046875	0.0625
61	15	lofc	0.0625	0.0625
62	15	hp	0.09375	0.0625
63	15	dlPFC	0.171875	0.0625
64	15	FFA/PPA	0.109375	0.0625
65	16	mofc	0.046875	0.0625
66	16	lofc	0.109375	0.0625
67	16	hp	0.03125	0.0625
68	16	dlPFC	0.078125	0.0625
69	16	FFA/PPA	0.203125	0.0625
70	17	mofc	0.03125	0.0625
71	17	lofc	0.03125	0.0625
72	17	hp	0.0625	0.0625
73	17	dlPFC	0.046875	0.0625
74	17	FFA/PPA	0.03125	0.0625
75	18	mofc	0.140625	0.0625
76	18	lofc	0.109375	0.0625
77	18	hp	0.109375	0.0625
78	18	dlPFC	0.25	0.0625
79	18	FFA/PPA	0.171875	0.0625
80	20	mofc	0.140625	0.0625
81	20	lofc	0.15625	0.0625
82	20	hp	0.078125	0.0625
83	20	dlPFC	0.078125	0.0625
84	20	FFA/PPA	0.09375	0.0625
85	21	mofc	0.0625	0.06354166666666666
86	21	lofc	0.11145833333333333	0.06354166666666666
87	21	hp	0.06458333333333333	0.06354166666666666
88	21	dlPFC	0.14270833333333333	0.06354166666666666
89	21	FFA/PPA	0.20625	0.06354166666666666
90	22	mofc	0.0625	0.0625
91	22	lofc	0.0625	0.0625
92	22	hp	0.046875	0.0625
93	22	dlPFC	0.078125	0.0625
94	22	FFA/PPA	0.078125	0.0625
95	23	mofc	0.125	0.0625
96	23	lofc	0.078125	0.0625
97	23	hp	0.125	0.0625
98	23	dlPFC	0.078125	0.0625
99	23	FFA/PPA	0.1875	0.0625
100	24	mofc	0.09375	0.0625
101	24	lofc	0.1875	0.0625
102	24	hp	0.046875	0.0625
103	24	dlPFC	0.078125	0.0625
104	24	FFA/PPA	0.125	0.0625
105	25	mofc	0.0625	0.0625
106	25	lofc	0.078125	0.0625
107	25	hp	0.046875	0.0625
108	25	dlPFC	0.125	0.0625
109	25	FFA/PPA	0.109375	0.0625
110	26	mofc	0.125	0.0625
111	26	lofc	0.09375	0.0625
112	26	hp	0.03125	0.0625
113	26	dlPFC	0.1875	0.0625
114	26	FFA/PPA	0.171875	0.0625
115	27	mofc	0.015625	0.0625
116	27	lofc	0.09375	0.0625
117	27	hp	0.140625	0.0625
118	27	dlPFC	0.046875	0.0625
119	27	FFA/PPA	0.09375	0.0625
120	28	mofc	0.015625	0.0625
121	28	lofc	0.09375	0.0625
122	28	hp	0.09375	0.0625
123	28	dlPFC	0.125	0.0625
124	28	FFA/PPA	0.125	0.0625
125	29	mofc	0.15625	0.0625
126	29	lofc	0.171875	0.0625
127	29	hp	0.15625	0.0625
128	29	dlPFC	0.34375	0.0625
129	29	FFA/PPA	0.171875	0.0625
130	30	mofc	0.03125	0.0625
131	30	lofc	0.03125	0.0625
132	30	hp	0.109375	0.0625
133	30	dlPFC	0.125	0.0625
134	30	FFA/PPA	0.125	0.0625
