	subject	mask_name	condition	score	chance_score
0	1	mofc	pre_age	0.59375	0.5
1	1	mofc	pre_category	0.46875	0.5
2	1	mofc	current_age	0.53125	0.5
3	1	mofc	current_category	0.5625	0.5
4	1	lofc	pre_age	0.578125	0.5
5	1	lofc	pre_category	0.515625	0.5
6	1	lofc	current_age	0.53125	0.5
7	1	lofc	current_category	0.609375	0.5
8	1	hp	pre_age	0.625	0.5
9	1	hp	pre_category	0.53125	0.5
10	1	hp	current_age	0.59375	0.5
11	1	hp	current_category	0.578125	0.5
12	1	dlPFC	pre_age	0.515625	0.5
13	1	dlPFC	pre_category	0.578125	0.5
14	1	dlPFC	current_age	0.5	0.5
15	1	dlPFC	current_category	0.546875	0.5
16	1	FFA/PPA	pre_age	0.53125	0.5
17	1	FFA/PPA	pre_category	0.65625	0.5
18	1	FFA/PPA	current_age	0.609375	0.5
19	1	FFA/PPA	current_category	0.78125	0.5
20	2	mofc	pre_age	0.609375	0.5
21	2	mofc	pre_category	0.5	0.5
22	2	mofc	current_age	0.671875	0.5
23	2	mofc	current_category	0.671875	0.5
24	2	lofc	pre_age	0.71875	0.5
25	2	lofc	pre_category	0.46875	0.5
26	2	lofc	current_age	0.625	0.5
27	2	lofc	current_category	0.484375	0.5
28	2	hp	pre_age	0.625	0.5
29	2	hp	pre_category	0.46875	0.5
30	2	hp	current_age	0.515625	0.5
31	2	hp	current_category	0.484375	0.5
32	2	dlPFC	pre_age	0.578125	0.5
33	2	dlPFC	pre_category	0.65625	0.5
34	2	dlPFC	current_age	0.453125	0.5
35	2	dlPFC	current_category	0.578125	0.5
36	2	FFA/PPA	pre_age	0.484375	0.5
37	2	FFA/PPA	pre_category	0.578125	0.5
38	2	FFA/PPA	current_age	0.59375	0.5
39	2	FFA/PPA	current_category	0.71875	0.5
40	3	mofc	pre_age	0.546875	0.5
41	3	mofc	pre_category	0.53125	0.5
42	3	mofc	current_age	0.6875	0.5
43	3	mofc	current_category	0.5625	0.5
44	3	lofc	pre_age	0.5	0.5
45	3	lofc	pre_category	0.578125	0.5
46	3	lofc	current_age	0.5	0.5
47	3	lofc	current_category	0.53125	0.5
48	3	hp	pre_age	0.515625	0.5
49	3	hp	pre_category	0.671875	0.5
50	3	hp	current_age	0.546875	0.5
51	3	hp	current_category	0.5625	0.5
52	3	dlPFC	pre_age	0.53125	0.5
53	3	dlPFC	pre_category	0.5625	0.5
54	3	dlPFC	current_age	0.625	0.5
55	3	dlPFC	current_category	0.6875	0.5
56	3	FFA/PPA	pre_age	0.625	0.5
57	3	FFA/PPA	pre_category	0.578125	0.5
58	3	FFA/PPA	current_age	0.671875	0.5
59	3	FFA/PPA	current_category	0.796875	0.5
60	4	mofc	pre_age	0.53125	0.5
61	4	mofc	pre_category	0.625	0.5
62	4	mofc	current_age	0.59375	0.5
63	4	mofc	current_category	0.578125	0.5
64	4	lofc	pre_age	0.59375	0.5
65	4	lofc	pre_category	0.484375	0.5
66	4	lofc	current_age	0.53125	0.5
67	4	lofc	current_category	0.578125	0.5
68	4	hp	pre_age	0.359375	0.5
69	4	hp	pre_category	0.515625	0.5
70	4	hp	current_age	0.5	0.5
71	4	hp	current_category	0.5625	0.5
72	4	dlPFC	pre_age	0.484375	0.5
73	4	dlPFC	pre_category	0.546875	0.5
74	4	dlPFC	current_age	0.46875	0.5
75	4	dlPFC	current_category	0.609375	0.5
76	4	FFA/PPA	pre_age	0.609375	0.5
77	4	FFA/PPA	pre_category	0.515625	0.5
78	4	FFA/PPA	current_age	0.625	0.5
79	4	FFA/PPA	current_category	0.703125	0.5
80	5	mofc	pre_age	0.421875	0.5
81	5	mofc	pre_category	0.453125	0.5
82	5	mofc	current_age	0.40625	0.5
83	5	mofc	current_category	0.609375	0.5
84	5	lofc	pre_age	0.59375	0.5
85	5	lofc	pre_category	0.5625	0.5
86	5	lofc	current_age	0.328125	0.5
87	5	lofc	current_category	0.546875	0.5
88	5	hp	pre_age	0.4375	0.5
89	5	hp	pre_category	0.46875	0.5
90	5	hp	current_age	0.453125	0.5
