	subject	mask_name	condition	score	chance_score
0	1	mofc	pre_irre_age	0.390625	0.5
1	1	mofc	pre_irre_category	0.546875	0.5
2	1	lofc	pre_irre_age	0.5	0.5
3	1	lofc	pre_irre_category	0.4375	0.5
4	1	hp	pre_irre_age	0.59375	0.5
5	1	hp	pre_irre_category	0.484375	0.5
6	1	dlPFC	pre_irre_age	0.59375	0.5
7	1	dlPFC	pre_irre_category	0.59375	0.5
8	1	FFA/PPA	pre_irre_age	0.59375	0.5
9	1	FFA/PPA	pre_irre_category	0.484375	0.5
10	2	mofc	pre_irre_age	0.734375	0.5
11	2	mofc	pre_irre_category	0.484375	0.5
12	2	lofc	pre_irre_age	0.671875	0.5
13	2	lofc	pre_irre_category	0.53125	0.5
14	2	hp	pre_irre_age	0.625	0.5
15	2	hp	pre_irre_category	0.515625	0.5
16	2	dlPFC	pre_irre_age	0.609375	0.5
17	2	dlPFC	pre_irre_category	0.59375	0.5
18	2	FFA/PPA	pre_irre_age	0.5625	0.5
19	2	FFA/PPA	pre_irre_category	0.59375	0.5
20	3	mofc	pre_irre_age	0.484375	0.5
21	3	mofc	pre_irre_category	0.484375	0.5
22	3	lofc	pre_irre_age	0.40625	0.5
23	3	lofc	pre_irre_category	0.5	0.5
24	3	hp	pre_irre_age	0.578125	0.5
25	3	hp	pre_irre_category	0.5	0.5
26	3	dlPFC	pre_irre_age	0.375	0.5
27	3	dlPFC	pre_irre_category	0.609375	0.5
28	3	FFA/PPA	pre_irre_age	0.53125	0.5
29	3	FFA/PPA	pre_irre_category	0.5625	0.5
30	4	mofc	pre_irre_age	0.5	0.5
31	4	mofc	pre_irre_category	0.421875	0.5
32	4	lofc	pre_irre_age	0.46875	0.5
33	4	lofc	pre_irre_category	0.546875	0.5
34	4	hp	pre_irre_age	0.53125	0.5
35	4	hp	pre_irre_category	0.640625	0.5
36	4	dlPFC	pre_irre_age	0.484375	0.5
37	4	dlPFC	pre_irre_category	0.5625	0.5
38	4	FFA/PPA	pre_irre_age	0.5	0.5
39	4	FFA/PPA	pre_irre_category	0.59375	0.5
40	5	mofc	pre_irre_age	0.46875	0.5
41	5	mofc	pre_irre_category	0.453125	0.5
42	5	lofc	pre_irre_age	0.578125	0.5
43	5	lofc	pre_irre_category	0.53125	0.5
44	5	hp	pre_irre_age	0.4375	0.5
45	5	hp	pre_irre_category	0.5	0.5
46	5	dlPFC	pre_irre_age	0.46875	0.5
47	5	dlPFC	pre_irre_category	0.515625	0.5
48	5	FFA/PPA	pre_irre_age	0.546875	0.5
49	5	FFA/PPA	pre_irre_category	0.46875	0.5
50	7	mofc	pre_irre_age	0.59375	0.5
51	7	mofc	pre_irre_category	0.5	0.5
52	7	lofc	pre_irre_age	0.40625	0.5
53	7	lofc	pre_irre_category	0.453125	0.5
54	7	hp	pre_irre_age	0.5625	0.5
55	7	hp	pre_irre_category	0.484375	0.5
56	7	dlPFC	pre_irre_age	0.5625	0.5
57	7	dlPFC	pre_irre_category	0.375	0.5
58	7	FFA/PPA	pre_irre_age	0.59375	0.5
59	7	FFA/PPA	pre_irre_category	0.65625	0.5
60	8	mofc	pre_irre_age	0.46875	0.5
61	8	mofc	pre_irre_category	0.546875	0.5
62	8	lofc	pre_irre_age	0.453125	0.5
63	8	lofc	pre_irre_category	0.359375	0.5
64	8	hp	pre_irre_age	0.515625	0.5
65	8	hp	pre_irre_category	0.40625	0.5
66	8	dlPFC	pre_irre_age	0.40625	0.5
67	8	dlPFC	pre_irre_category	0.46875	0.5
68	8	FFA/PPA	pre_irre_age	0.5	0.5
69	8	FFA/PPA	pre_irre_category	0.515625	0.5
70	9	mofc	pre_irre_age	0.6875	0.5
71	9	mofc	pre_irre_category	0.453125	0.5
72	9	lofc	pre_irre_age	0.65625	0.5
73	9	lofc	pre_irre_category	0.484375	0.5
74	9	hp	pre_irre_age	0.5	0.5
75	9	hp	pre_irre_category	0.421875	0.5
76	9	dlPFC	pre_irre_age	0.671875	0.5
77	9	dlPFC	pre_irre_category	0.453125	0.5
78	9	FFA/PPA	pre_irre_age	0.4375	0.5
79	9	FFA/PPA	pre_irre_category	0.625	0.5
80	10	mofc	pre_irre_age	0.546875	0.5
81	10	mofc	pre_irre_category	0.53125	0.5
82	10	lofc	pre_irre_age	0.484375	0.5
83	10	lofc	pre_irre_category	0.5625	0.5
84	10	hp	pre_irre_age	0.46875	0.5
85	10	hp	pre_irre_category	0.53125	0.5
86	10	dlPFC	pre_irre_age	0.375	0.5
87	10	dlPFC	pre_irre_category	0.421875	0.5
88	10	FFA/PPA	pre_irre_age	0.4375	0.5
89	10	FFA/PPA	pre_irre_category	0.546875	0.5
90	11	mofc	pre_irre_age	0.390625	0.5
91	11	mofc	pre_irre_category	0.390625	0.5
92	11	lofc	pre_irre_age	0.65625	0.5
93	11	lofc	pre_irre_category	0.53125	0.5
94	11	hp	pre_irre_age	0.359375	0.5
95	11	hp	pre_irre_category	0.515625	0.5
96	11	dlPFC	pre_irre_age	0.59375	0.5
97	11	dlPFC	pre_irre_category	0.625	0.5
98	11	FFA/PPA	pre_irre_age	0.421875	0.5
99	11	FFA/PPA	pre_irre_category	0.625	0.5
100	12	mofc	pre_irre_age	0.578125	0.5
101	12	mofc	pre_irre_category	0.671875	0.5
102	12	lofc	pre_irre_age	0.609375	0.5
103	12	lofc	pre_irre_category	0.5	0.5
104	12	hp	pre_irre_age	0.484375	0.5
105	12	hp	pre_irre_category	0.53125	0.5
106	12	dlPFC	pre_irre_age	0.546875	0.5
107	12	dlPFC	pre_irre_category	0.4375	0.5
108	12	FFA/PPA	pre_irre_age	0.546875	0.5
109	12	FFA/PPA	pre_irre_category	0.609375	0.5
110	14	mofc	pre_irre_age	0.609375	0.5
111	14	mofc	pre_irre_category	0.4375	0.5
112	14	lofc	pre_irre_age	0.59375	0.5
113	14	lofc	pre_irre_category	0.453125	0.5
114	14	hp	pre_irre_age	0.546875	0.5
115	14	hp	pre_irre_category	0.484375	0.5
116	14	dlPFC	pre_irre_age	0.5625	0.5
117	14	dlPFC	pre_irre_category	0.390625	0.5
118	14	FFA/PPA	pre_irre_age	0.609375	0.5
119	14	FFA/PPA	pre_irre_category	0.640625	0.5
