mask_name	subject	state2	correlation	error_rate
FFA/PPA	1	(Fo)Fy	0.009200709862996148	0.0
FFA/PPA	1	(Fy)Fo		0.0625
FFA/PPA	1	(Ho)Hy	0.09315825275798327	0.03125
FFA/PPA	1	(Hy)Ho		0.0
FFA/PPA	1	(Fo)Hy		0.1875
FFA/PPA	1	(Fy)Ho	0.007342282783482656	0.125
FFA/PPA	1	(Ho)Fy		0.0
FFA/PPA	1	(Hy)Fo	0.0015779292790154133	0.0625
FFA/PPA	2	(Fo)Fy	0.001894051488447096	0.0625
FFA/PPA	2	(Fy)Fo		0.09375
FFA/PPA	2	(Ho)Hy		0.0
FFA/PPA	2	(Hy)Ho		0.03125
FFA/PPA	2	(Fo)Hy	0.03839016915031617	0.0
FFA/PPA	2	(Fy)Ho	0.0012795866435161823	0.0
FFA/PPA	2	(Ho)Fy	0.004044189745120129	0.0
FFA/PPA	2	(Hy)Fo	0.004547629448644996	0.0
FFA/PPA	3	(Fo)Fy		0.03125
FFA/PPA	3	(Fy)Fo	0.04529596789753283	0.0
FFA/PPA	3	(Ho)Hy		0.125
FFA/PPA	3	(Hy)Ho		0.03125
FFA/PPA	3	(Fo)Hy	0.07983059880631171	0.125
FFA/PPA	3	(Fy)Ho		0.0625
FFA/PPA	3	(Ho)Fy		0.0
FFA/PPA	3	(Hy)Fo		0.0625
FFA/PPA	4	(Fo)Fy	0.024123656653549114	0.03125
FFA/PPA	4	(Fy)Fo		0.09375
FFA/PPA	4	(Ho)Hy		0.03125
FFA/PPA	4	(Hy)Ho		0.03125
FFA/PPA	4	(Fo)Hy	0.0154602096107868	0.0625
FFA/PPA	4	(Fy)Ho	0.009260082093646258	0.0625
FFA/PPA	4	(Ho)Fy		0.125
FFA/PPA	4	(Hy)Fo		0.125
FFA/PPA	5	(Fo)Fy		0.0
FFA/PPA	5	(Fy)Fo		0.03125
FFA/PPA	5	(Ho)Hy	0.0019587627968139227	0.09375
FFA/PPA	5	(Hy)Ho		0.0
FFA/PPA	5	(Fo)Hy	0.022928922428748187	0.25
FFA/PPA	5	(Fy)Ho	0.019617697148727967	0.0625
FFA/PPA	5	(Ho)Fy	0.04945680894629381	0.125
FFA/PPA	5	(Hy)Fo		0.0625
FFA/PPA	7	(Fo)Fy	0.024389997123765782	0.0
FFA/PPA	7	(Fy)Fo		0.09375
FFA/PPA	7	(Ho)Hy		0.0
FFA/PPA	7	(Hy)Ho		0.03125
FFA/PPA	7	(Fo)Hy	0.0077357317460576575	0.125
FFA/PPA	7	(Fy)Ho		0.25
FFA/PPA	7	(Ho)Fy	0.06556108621862955	0.0625
FFA/PPA	7	(Hy)Fo		0.0
FFA/PPA	8	(Fo)Fy	0.057525525028782346	0.03125
FFA/PPA	8	(Fy)Fo	0.06942962140959212	0.15625
FFA/PPA	8	(Ho)Hy		0.09375
FFA/PPA	8	(Hy)Ho	0.06434077418665463	0.0
FFA/PPA	8	(Fo)Hy		0.1875
FFA/PPA	8	(Fy)Ho		0.0
FFA/PPA	8	(Ho)Fy	0.11377691559066364	0.125
FFA/PPA	8	(Hy)Fo		0.0625
FFA/PPA	9	(Fo)Fy		0.0
FFA/PPA	9	(Fy)Fo		0.0625
FFA/PPA	9	(Ho)Hy	0.01781047541821454	0.0
FFA/PPA	9	(Hy)Ho	0.01764619697582808	0.0625
FFA/PPA	9	(Fo)Hy	0.03279957525086218	0.0
FFA/PPA	9	(Fy)Ho		0.0
FFA/PPA	9	(Ho)Fy	0.07821244638308672	0.0
FFA/PPA	9	(Hy)Fo		0.0625
FFA/PPA	10	(Fo)Fy	0.030167381334579968	0.0
FFA/PPA	10	(Fy)Fo	0.02697091462842671	0.03125
FFA/PPA	10	(Ho)Hy	0.05901793721754528	0.0625
FFA/PPA	10	(Hy)Ho	0.03506957600543387	0.03125
FFA/PPA	10	(Fo)Hy	0.009293942033406458	0.25
FFA/PPA	10	(Fy)Ho		0.125
FFA/PPA	10	(Ho)Fy		0.0625
FFA/PPA	10	(Hy)Fo		0.1875
FFA/PPA	11	(Fo)Fy		0.0
FFA/PPA	11	(Fy)Fo		0.03125
FFA/PPA	11	(Ho)Hy		0.0625
FFA/PPA	11	(Hy)Ho		0.0
FFA/PPA	11	(Fo)Hy		0.0
FFA/PPA	11	(Fy)Ho		0.0625
FFA/PPA	11	(Ho)Fy		0.0
FFA/PPA	11	(Hy)Fo		0.125
FFA/PPA	12	(Fo)Fy		0.0625
FFA/PPA	12	(Fy)Fo	0.007691001329627897	0.0625
FFA/PPA	12	(Ho)Hy		0.0
FFA/PPA	12	(Hy)Ho		0.0
FFA/PPA	12	(Fo)Hy	0.058574631570141394	0.0
FFA/PPA	12	(Fy)Ho		0.0625
FFA/PPA	12	(Ho)Fy	0.0477631275174529	0.0
FFA/PPA	12	(Hy)Fo	0.034359443765359494	0.0625
FFA/PPA	14	(Fo)Fy		0.0
FFA/PPA	14	(Fy)Fo		0.03125
FFA/PPA	14	(Ho)Hy	0.07332152071434517	0.0
FFA/PPA	14	(Hy)Ho		0.03125
FFA/PPA	14	(Fo)Hy	0.028408707037020035	0.0
FFA/PPA	14	(Fy)Ho	0.08249281234123787	0.0625
FFA/PPA	14	(Ho)Fy	0.05887882119184251	0.0625
FFA/PPA	14	(Hy)Fo		0.0
FFA/PPA	15	(Fo)Fy		0.0
FFA/PPA	15	(Fy)Fo		0.03125
FFA/PPA	15	(Ho)Hy		0.03125
FFA/PPA	15	(Hy)Ho		0.03125
FFA/PPA	15	(Fo)Hy		0.0
FFA/PPA	15	(Fy)Ho		0.0
FFA/PPA	15	(Ho)Fy		0.0
FFA/PPA	15	(Hy)Fo		0.0625
FFA/PPA	16	(Fo)Fy	0.003845693326906832	0.0
FFA/PPA	16	(Fy)Fo		0.0
FFA/PPA	16	(Ho)Hy	0.002410259279766224	0.03125
FFA/PPA	16	(Hy)Ho		0.0625
FFA/PPA	16	(Fo)Hy	0.03921662601108873	0.1875
FFA/PPA	16	(Fy)Ho		0.0625
FFA/PPA	16	(Ho)Fy		0.0625
FFA/PPA	16	(Hy)Fo		0.1875
FFA/PPA	17	(Fo)Fy	0.03691736613353638	0.0
FFA/PPA	17	(Fy)Fo		0.0625
FFA/PPA	17	(Ho)Hy	0.03714846678266268	0.0625
FFA/PPA	17	(Hy)Ho		0.09375
FFA/PPA	17	(Fo)Hy	0.06111895993272223	0.125
FFA/PPA	17	(Fy)Ho	0.007880429833716918	0.0625
FFA/PPA	17	(Ho)Fy	0.0036962611523031746	0.0
FFA/PPA	17	(Hy)Fo	0.015626920202542565	0.1875
FFA/PPA	18	(Fo)Fy	0.010418974054735465	0.0
FFA/PPA	18	(Fy)Fo	0.027349061664930535	0.0625
FFA/PPA	18	(Ho)Hy	0.01160006656548445	0.0
FFA/PPA	18	(Hy)Ho	0.034137975626701206	0.0
FFA/PPA	18	(Fo)Hy		0.125
FFA/PPA	18	(Fy)Ho		0.0625
FFA/PPA	18	(Ho)Fy		0.0
FFA/PPA	18	(Hy)Fo		0.1875
FFA/PPA	20	(Fo)Fy	0.053097739849482815	0.125
FFA/PPA	20	(Fy)Fo	0.050051975247618175	0.03125
FFA/PPA	20	(Ho)Hy		0.03125
FFA/PPA	20	(Hy)Ho		0.0625
FFA/PPA	20	(Fo)Hy		0.25
FFA/PPA	20	(Fy)Ho		0.125
FFA/PPA	20	(Ho)Fy		0.25
FFA/PPA	20	(Hy)Fo		0.125
FFA/PPA	21	(Fo)Fy	0.021287758286530924	0.0625
FFA/PPA	21	(Fy)Fo	0.006179169250136582	0.0
FFA/PPA	21	(Ho)Hy		0.0625
FFA/PPA	21	(Hy)Ho	0.009003783982471283	0.0
FFA/PPA	21	(Fo)Hy		0.125
FFA/PPA	21	(Fy)Ho		0.1875
FFA/PPA	21	(Ho)Fy	0.03211775173896838	0.0625
FFA/PPA	21	(Hy)Fo	0.0145780525640028	0.0
FFA/PPA	22	(Fo)Fy	0.04297113235019502	0.0
FFA/PPA	22	(Fy)Fo	0.03202406572999966	0.0625
FFA/PPA	22	(Ho)Hy	0.009267759342355296	0.03125
FFA/PPA	22	(Hy)Ho	0.011529993681906086	0.03125
FFA/PPA	22	(Fo)Hy	0.027396510871031926	0.0625
FFA/PPA	22	(Fy)Ho		0.125
