mask_name	subject	state2	correlation	error_rate
FFA/PPA	1	(Fo)Fy	0.009200709862996148	0.0
FFA/PPA	1	(Fy)Fo	-0.011147506833095542	0.0625
FFA/PPA	1	(Ho)Hy	0.09315825275798327	0.03125
FFA/PPA	1	(Hy)Ho	-0.04421326640137528	0.0
FFA/PPA	1	(Fo)Hy	-0.06006427626512745	0.1875
FFA/PPA	1	(Fy)Ho	0.007342282783482656	0.125
FFA/PPA	1	(Ho)Fy	-0.09457991554105923	0.0
FFA/PPA	1	(Hy)Fo	0.0015779292790154133	0.0625
FFA/PPA	2	(Fo)Fy	0.001894051488447096	0.0625
FFA/PPA	2	(Fy)Fo	-0.06760021517126674	0.09375
FFA/PPA	2	(Ho)Hy	-0.08629261316967175	0.0
FFA/PPA	2	(Hy)Ho	-0.08886087350516024	0.03125
FFA/PPA	2	(Fo)Hy	0.03839016915031617	0.0
FFA/PPA	2	(Fy)Ho	0.0012795866435161823	0.0
FFA/PPA	2	(Ho)Fy	0.004044189745120129	0.0
FFA/PPA	2	(Hy)Fo	0.004547629448644996	0.0
FFA/PPA	3	(Fo)Fy	-0.04459385440561863	0.03125
FFA/PPA	3	(Fy)Fo	0.04529596789753283	0.0
FFA/PPA	3	(Ho)Hy	-0.05117762211682311	0.125
FFA/PPA	3	(Hy)Ho	-0.04952783883584218	0.03125
FFA/PPA	3	(Fo)Hy	0.07983059880631171	0.125
FFA/PPA	3	(Fy)Ho	-0.038572392395185166	0.0625
FFA/PPA	3	(Ho)Fy	-0.014968083838478474	0.0
FFA/PPA	3	(Hy)Fo	-0.08385619721411346	0.0625
FFA/PPA	4	(Fo)Fy	0.024123656653549114	0.03125
FFA/PPA	4	(Fy)Fo	-0.0032628335632767453	0.09375
FFA/PPA	4	(Ho)Hy	-0.009436779366838757	0.03125
FFA/PPA	4	(Hy)Ho	-0.021735900521688268	0.03125
FFA/PPA	4	(Fo)Hy	0.0154602096107868	0.0625
FFA/PPA	4	(Fy)Ho	0.009260082093646258	0.0625
FFA/PPA	4	(Ho)Fy	-0.005160177605165399	0.125
FFA/PPA	4	(Hy)Fo	-0.037357697767635326	0.125
FFA/PPA	5	(Fo)Fy	-0.007044662210521076	0.0
FFA/PPA	5	(Fy)Fo	-0.02350944393384168	0.03125
FFA/PPA	5	(Ho)Hy	0.0019587627968139227	0.09375
FFA/PPA	5	(Hy)Ho	-0.07434722736938326	0.0
FFA/PPA	5	(Fo)Hy	0.022928922428748187	0.25
FFA/PPA	5	(Fy)Ho	0.019617697148727967	0.0625
FFA/PPA	5	(Ho)Fy	0.04945680894629381	0.125
FFA/PPA	5	(Hy)Fo	-0.021916877905653467	0.0625
FFA/PPA	7	(Fo)Fy	0.024389997123765782	0.0
FFA/PPA	7	(Fy)Fo	-0.022734344680700482	0.09375
FFA/PPA	7	(Ho)Hy	-0.006679155168376839	0.0
FFA/PPA	7	(Hy)Ho	-0.023600526567627206	0.03125
FFA/PPA	7	(Fo)Hy	0.0077357317460576575	0.125
FFA/PPA	7	(Fy)Ho	-0.07852353795043251	0.25
FFA/PPA	7	(Ho)Fy	0.06556108621862955	0.0625
FFA/PPA	7	(Hy)Fo	-0.03684676979575619	0.0
FFA/PPA	8	(Fo)Fy	0.057525525028782346	0.03125
FFA/PPA	8	(Fy)Fo	0.06942962140959212	0.15625
FFA/PPA	8	(Ho)Hy	-0.003994176053654006	0.09375
FFA/PPA	8	(Hy)Ho	0.06434077418665463	0.0
FFA/PPA	8	(Fo)Hy	-0.05811538013276145	0.1875
FFA/PPA	8	(Fy)Ho	-0.037620198293114034	0.0
FFA/PPA	8	(Ho)Fy	0.11377691559066364	0.125
FFA/PPA	8	(Hy)Fo	-0.08309965186694016	0.0625
FFA/PPA	9	(Fo)Fy	-0.0017960687305989785	0.0
FFA/PPA	9	(Fy)Fo	-0.09692267096670173	0.0625
FFA/PPA	9	(Ho)Hy	0.01781047541821454	0.0
FFA/PPA	9	(Hy)Ho	0.01764619697582808	0.0625
FFA/PPA	9	(Fo)Hy	0.03279957525086218	0.0
FFA/PPA	9	(Fy)Ho	-0.10236444578023284	0.0
FFA/PPA	9	(Ho)Fy	0.07821244638308672	0.0
FFA/PPA	9	(Hy)Fo	-0.031751491392408904	0.0625
FFA/PPA	10	(Fo)Fy	0.030167381334579968	0.0
FFA/PPA	10	(Fy)Fo	0.02697091462842671	0.03125
FFA/PPA	10	(Ho)Hy	0.05901793721754528	0.0625
FFA/PPA	10	(Hy)Ho	0.03506957600543387	0.03125
FFA/PPA	10	(Fo)Hy	0.009293942033406458	0.25
FFA/PPA	10	(Fy)Ho	-0.005112842622828905	0.125
FFA/PPA	10	(Ho)Fy	-0.003650581606120698	0.0625
FFA/PPA	10	(Hy)Fo	-0.03629738613421785	0.1875
FFA/PPA	11	(Fo)Fy	-0.10401085375617611	0.0
FFA/PPA	11	(Fy)Fo	-0.10567664515227558	0.03125
FFA/PPA	11	(Ho)Hy	-0.00234206186425495	0.0625
FFA/PPA	11	(Hy)Ho	-0.020087940108681764	0.0
FFA/PPA	11	(Fo)Hy	-0.019436855932452358	0.0
FFA/PPA	11	(Fy)Ho	-0.002372147651405823	0.0625
FFA/PPA	11	(Ho)Fy	-0.07146081229832174	0.0
FFA/PPA	11	(Hy)Fo	-0.030500219681088486	0.125
FFA/PPA	12	(Fo)Fy	-0.008036401790968616	0.0625
FFA/PPA	12	(Fy)Fo	0.007691001329627897	0.0625
FFA/PPA	12	(Ho)Hy	-0.058279209862131184	0.0
FFA/PPA	12	(Hy)Ho	-0.041164048589794965	0.0
FFA/PPA	12	(Fo)Hy	0.058574631570141394	0.0
FFA/PPA	12	(Fy)Ho	-0.021595270135977514	0.0625
FFA/PPA	12	(Ho)Fy	0.0477631275174529	0.0
FFA/PPA	12	(Hy)Fo	0.034359443765359494	0.0625
FFA/PPA	14	(Fo)Fy	-0.02632271474882022	0.0
FFA/PPA	14	(Fy)Fo	-0.02765402736512384	0.03125
FFA/PPA	14	(Ho)Hy	0.07332152071434517	0.0
FFA/PPA	14	(Hy)Ho	-0.07446793563967466	0.03125
FFA/PPA	14	(Fo)Hy	0.028408707037020035	0.0
FFA/PPA	14	(Fy)Ho	0.08249281234123787	0.0625
FFA/PPA	14	(Ho)Fy	0.05887882119184251	0.0625
FFA/PPA	14	(Hy)Fo	-0.0805328884763942	0.0
FFA/PPA	15	(Fo)Fy	-0.08513681596067378	0.0
FFA/PPA	15	(Fy)Fo	-0.024089094437670364	0.03125
FFA/PPA	15	(Ho)Hy	-0.10723473205558393	0.03125
FFA/PPA	15	(Hy)Ho	-0.06262694935536733	0.03125
FFA/PPA	15	(Fo)Hy	-0.05183955411468929	0.0
FFA/PPA	15	(Fy)Ho	-0.012602875552796476	0.0
FFA/PPA	15	(Ho)Fy	-0.023383141101802084	0.0
FFA/PPA	15	(Hy)Fo	-0.006190317675941838	0.0625
FFA/PPA	16	(Fo)Fy	0.003845693326906832	0.0
FFA/PPA	16	(Fy)Fo	-0.05073409933493556	0.0
FFA/PPA	16	(Ho)Hy	0.002410259279766224	0.03125
FFA/PPA	16	(Hy)Ho	-0.013877424375822388	0.0625
FFA/PPA	16	(Fo)Hy	0.03921662601108873	0.1875
FFA/PPA	16	(Fy)Ho	-0.028666431155845964	0.0625
FFA/PPA	16	(Ho)Fy	-0.011157830271840039	0.0625
FFA/PPA	16	(Hy)Fo	-0.047653750715255544	0.1875
FFA/PPA	17	(Fo)Fy	0.03691736613353638	0.0
FFA/PPA	17	(Fy)Fo	-0.05081903547352789	0.0625
FFA/PPA	17	(Ho)Hy	0.03714846678266268	0.0625
FFA/PPA	17	(Hy)Ho	-0.022200665823579657	0.09375
FFA/PPA	17	(Fo)Hy	0.06111895993272223	0.125
FFA/PPA	17	(Fy)Ho	0.007880429833716918	0.0625
FFA/PPA	17	(Ho)Fy	0.0036962611523031746	0.0
FFA/PPA	17	(Hy)Fo	0.015626920202542565	0.1875
FFA/PPA	18	(Fo)Fy	0.010418974054735465	0.0
FFA/PPA	18	(Fy)Fo	0.027349061664930535	0.0625
FFA/PPA	18	(Ho)Hy	0.01160006656548445	0.0
FFA/PPA	18	(Hy)Ho	0.034137975626701206	0.0
FFA/PPA	18	(Fo)Hy	-0.007569804428635876	0.125
FFA/PPA	18	(Fy)Ho	-0.0753567215103833	0.0625
FFA/PPA	18	(Ho)Fy	-0.01900883262156446	0.0
FFA/PPA	18	(Hy)Fo	-0.09162238986646665	0.1875
FFA/PPA	20	(Fo)Fy	0.053097739849482815	0.125
FFA/PPA	20	(Fy)Fo	0.050051975247618175	0.03125
FFA/PPA	20	(Ho)Hy	-0.012599416557333345	0.03125
FFA/PPA	20	(Hy)Ho	-0.013360593923267218	0.0625
FFA/PPA	20	(Fo)Hy	-0.07019750993030495	0.25
FFA/PPA	20	(Fy)Ho	-0.042854904984466334	0.125
FFA/PPA	20	(Ho)Fy	-0.032477609556058974	0.25
FFA/PPA	20	(Hy)Fo	-0.023124276209564053	0.125
FFA/PPA	21	(Fo)Fy	0.021287758286530924	0.0625
FFA/PPA	21	(Fy)Fo	0.006179169250136582	0.0
FFA/PPA	21	(Ho)Hy	-0.013191148785107722	0.0625
FFA/PPA	21	(Hy)Ho	0.009003783982471283	0.0
FFA/PPA	21	(Fo)Hy	-0.012832868011878044	0.125
FFA/PPA	21	(Fy)Ho	-0.11261707880065153	0.1875
FFA/PPA	21	(Ho)Fy	0.03211775173896838	0.0625
FFA/PPA	21	(Hy)Fo	0.0145780525640028	0.0
FFA/PPA	22	(Fo)Fy	0.04297113235019502	0.0
FFA/PPA	22	(Fy)Fo	0.03202406572999966	0.0625
FFA/PPA	22	(Ho)Hy	0.009267759342355296	0.03125
FFA/PPA	22	(Hy)Ho	0.011529993681906086	0.03125
FFA/PPA	22	(Fo)Hy	0.027396510871031926	0.0625
FFA/PPA	22	(Fy)Ho	-0.00989624591763853	0.125
FFA/PPA	22	(Ho)Fy	-0.006040994202314013	0.0625
FFA/PPA	22	(Hy)Fo	-0.03841834169735901	0.0625
FFA/PPA	23	(Fo)Fy	-0.12281890905065865	0.0
FFA/PPA	23	(Fy)Fo	0.01866594643564473	0.0
FFA/PPA	23	(Ho)Hy	-0.07659918050391658	0.03125
FFA/PPA	23	(Hy)Ho	-0.12423707605485304	0.0
FFA/PPA	23	(Fo)Hy	0.021207022939626702	0.0625
FFA/PPA	23	(Fy)Ho	-0.013325359486847252	0.0625
FFA/PPA	23	(Ho)Fy	0.012632575888797263	0.0
FFA/PPA	23	(Hy)Fo	-0.05622199521449993	0.0625
FFA/PPA	24	(Fo)Fy	0.020178382453179298	0.0625
FFA/PPA	24	(Fy)Fo	-0.028235168838700628	0.09375
FFA/PPA	24	(Ho)Hy	0.004386787569622066	0.03125
FFA/PPA	24	(Hy)Ho	0.02220944123462843	0.03125
FFA/PPA	24	(Fo)Hy	0.04646806018194876	0.0625
FFA/PPA	24	(Fy)Ho	0.041983531594236026	0.0625
FFA/PPA	24	(Ho)Fy	-0.00867957185544065	0.0625
FFA/PPA	24	(Hy)Fo	0.04744494519827028	0.1875
FFA/PPA	25	(Fo)Fy	-0.03149135682790224	0.0
FFA/PPA	25	(Fy)Fo	0.15156500024995043	0.03125
FFA/PPA	25	(Ho)Hy	0.018390161199416027	0.0625
FFA/PPA	25	(Hy)Ho	0.013091649438784434	0.0625
FFA/PPA	25	(Fo)Hy	-0.04707135606489916	0.1875
FFA/PPA	25	(Fy)Ho	-0.058263213887348037	0.0
FFA/PPA	25	(Ho)Fy	-0.10534599335073586	0.0
FFA/PPA	25	(Hy)Fo	-0.04845797481570868	0.0625
FFA/PPA	26	(Fo)Fy	0.03524394436980905	0.0625
FFA/PPA	26	(Fy)Fo	-0.042973862197756896	0.0
FFA/PPA	26	(Ho)Hy	-0.05669951724247272	0.03125
FFA/PPA	26	(Hy)Ho	0.03474436432912006	0.03125
FFA/PPA	26	(Fo)Hy	0.0164794238377445	0.0
FFA/PPA	26	(Fy)Ho	-0.013579649740810685	0.0625
FFA/PPA	26	(Ho)Fy	0.0016431973470715658	0.0625
FFA/PPA	26	(Hy)Fo	-0.06918826197476503	0.0
FFA/PPA	27	(Fo)Fy	0.019173564029804628	0.25
FFA/PPA	27	(Fy)Fo	0.03576585951208488	0.03125
FFA/PPA	27	(Ho)Hy	-0.019542659274100743	0.03125
FFA/PPA	27	(Hy)Ho	-0.03233536742450824	0.0625
