mask_name	subject	state2	correlation	error_rate
FFA/PPA	1	(Fo)Hy		0.1875
FFA/PPA	1	(Fo)Ho	0.004111055709719996	0.0625
FFA/PPA	1	(Fy)Hy		0.125
FFA/PPA	1	(Fy)Ho	0.007342282783482656	0.125
FFA/PPA	1	(Ho)Fy		0.0
FFA/PPA	1	(Ho)Fo		0.0
FFA/PPA	1	(Hy)Fy		0.1875
FFA/PPA	1	(Hy)Fo	0.0015779292790154117	0.0625
FFA/PPA	2	(Fo)Hy	0.038390169150316164	0.0
FFA/PPA	2	(Fo)Ho	0.029072604568929385	0.0
FFA/PPA	2	(Fy)Hy	0.01103972321480738	0.0
FFA/PPA	2	(Fy)Ho	0.001279586643516182	0.0
FFA/PPA	2	(Ho)Fy	0.004044189745120127	0.0
FFA/PPA	2	(Ho)Fo		0.125
FFA/PPA	2	(Hy)Fy		0.0
FFA/PPA	2	(Hy)Fo	0.004547629448644997	0.0
FFA/PPA	3	(Fo)Hy	0.07983059880631171	0.125
FFA/PPA	3	(Fo)Ho		0.1875
FFA/PPA	3	(Fy)Hy		0.0
FFA/PPA	3	(Fy)Ho		0.0625
FFA/PPA	3	(Ho)Fy		0.0
FFA/PPA	3	(Ho)Fo		0.125
FFA/PPA	3	(Hy)Fy		0.0625
FFA/PPA	3	(Hy)Fo		0.0625
FFA/PPA	4	(Fo)Hy	0.015460209610786802	0.0625
FFA/PPA	4	(Fo)Ho		0.0625
FFA/PPA	4	(Fy)Hy		0.0
FFA/PPA	4	(Fy)Ho	0.009260082093646253	0.0625
FFA/PPA	4	(Ho)Fy		0.125
FFA/PPA	4	(Ho)Fo		0.125
FFA/PPA	4	(Hy)Fy		0.0
FFA/PPA	4	(Hy)Fo		0.125
FFA/PPA	5	(Fo)Hy	0.02292892242874819	0.25
FFA/PPA	5	(Fo)Ho	0.03381780598825654	0.0625
FFA/PPA	5	(Fy)Hy		0.125
FFA/PPA	5	(Fy)Ho	0.01961769714872797	0.0625
FFA/PPA	5	(Ho)Fy	0.04945680894629381	0.125
FFA/PPA	5	(Ho)Fo		0.0625
FFA/PPA	5	(Hy)Fy		0.0
FFA/PPA	5	(Hy)Fo		0.0625
FFA/PPA	7	(Fo)Hy	0.007735731746057657	0.125
FFA/PPA	7	(Fo)Ho	0.012231757654503085	0.0625
FFA/PPA	7	(Fy)Hy		0.0625
FFA/PPA	7	(Fy)Ho		0.25
FFA/PPA	7	(Ho)Fy	0.06556108621862955	0.0625
FFA/PPA	7	(Ho)Fo	0.003572625786139216	0.0625
FFA/PPA	7	(Hy)Fy		0.0625
FFA/PPA	7	(Hy)Fo		0.0
FFA/PPA	8	(Fo)Hy		0.1875
FFA/PPA	8	(Fo)Ho		0.0
FFA/PPA	8	(Fy)Hy		0.125
FFA/PPA	8	(Fy)Ho		0.0
FFA/PPA	8	(Ho)Fy	0.11377691559066364	0.125
FFA/PPA	8	(Ho)Fo		0.0625
FFA/PPA	8	(Hy)Fy		0.0625
FFA/PPA	8	(Hy)Fo		0.0625
FFA/PPA	9	(Fo)Hy	0.03279957525086219	0.0
FFA/PPA	9	(Fo)Ho		0.0625
FFA/PPA	9	(Fy)Hy		0.0625
FFA/PPA	9	(Fy)Ho		0.0
FFA/PPA	9	(Ho)Fy	0.07821244638308672	0.0
FFA/PPA	9	(Ho)Fo	0.005333480867938939	0.0625
FFA/PPA	9	(Hy)Fy		0.0625
FFA/PPA	9	(Hy)Fo		0.0625
FFA/PPA	10	(Fo)Hy	0.009293942033406461	0.25
FFA/PPA	10	(Fo)Ho		0.125
FFA/PPA	10	(Fy)Hy		0.1875
