mask_name	subject	state2	correlation	error_rate
FFA/PPA	1	(Fo)Hy	-0.06006427626512745	0.1875
FFA/PPA	1	(Fo)Ho	0.004111055709719996	0.0625
FFA/PPA	1	(Fy)Hy	-0.041901954877975586	0.125
FFA/PPA	1	(Fy)Ho	0.007342282783482656	0.125
FFA/PPA	1	(Ho)Fy	-0.09457991554105923	0.0
FFA/PPA	1	(Ho)Fo	-0.02532262000356058	0.0
FFA/PPA	1	(Hy)Fy	-0.007473170435784628	0.1875
FFA/PPA	1	(Hy)Fo	0.0015779292790154117	0.0625
FFA/PPA	2	(Fo)Hy	0.038390169150316164	0.0
FFA/PPA	2	(Fo)Ho	0.029072604568929385	0.0
FFA/PPA	2	(Fy)Hy	0.01103972321480738	0.0
FFA/PPA	2	(Fy)Ho	0.001279586643516182	0.0
FFA/PPA	2	(Ho)Fy	0.004044189745120127	0.0
FFA/PPA	2	(Ho)Fo	-0.016179878553373408	0.125
FFA/PPA	2	(Hy)Fy	-0.019145384094564795	0.0
FFA/PPA	2	(Hy)Fo	0.004547629448644997	0.0
FFA/PPA	3	(Fo)Hy	0.07983059880631171	0.125
FFA/PPA	3	(Fo)Ho	-0.008884028394062441	0.1875
FFA/PPA	3	(Fy)Hy	-0.062084033873551055	0.0
FFA/PPA	3	(Fy)Ho	-0.03857239239518517	0.0625
FFA/PPA	3	(Ho)Fy	-0.01496808383847847	0.0
FFA/PPA	3	(Ho)Fo	-0.003958672329932028	0.125
FFA/PPA	3	(Hy)Fy	-0.09538380028369428	0.0625
FFA/PPA	3	(Hy)Fo	-0.08385619721411347	0.0625
FFA/PPA	4	(Fo)Hy	0.015460209610786802	0.0625
FFA/PPA	4	(Fo)Ho	-0.0010652400216044685	0.0625
FFA/PPA	4	(Fy)Hy	-0.08796450238467754	0.0
FFA/PPA	4	(Fy)Ho	0.009260082093646253	0.0625
FFA/PPA	4	(Ho)Fy	-0.005160177605165401	0.125
FFA/PPA	4	(Ho)Fo	-0.04604120317886855	0.125
FFA/PPA	4	(Hy)Fy	-0.09495343597656877	0.0
FFA/PPA	4	(Hy)Fo	-0.03735769776763532	0.125
FFA/PPA	5	(Fo)Hy	0.02292892242874819	0.25
FFA/PPA	5	(Fo)Ho	0.03381780598825654	0.0625
FFA/PPA	5	(Fy)Hy	-0.012874468927605884	0.125
FFA/PPA	5	(Fy)Ho	0.01961769714872797	0.0625
FFA/PPA	5	(Ho)Fy	0.04945680894629381	0.125
FFA/PPA	5	(Ho)Fo	-0.0602094498299143	0.0625
FFA/PPA	5	(Hy)Fy	-0.088057555113567	0.0
FFA/PPA	5	(Hy)Fo	-0.02191687790565347	0.0625
FFA/PPA	7	(Fo)Hy	0.007735731746057657	0.125
FFA/PPA	7	(Fo)Ho	0.012231757654503085	0.0625
FFA/PPA	7	(Fy)Hy	-0.06937100135881355	0.0625
FFA/PPA	7	(Fy)Ho	-0.07852353795043251	0.25
FFA/PPA	7	(Ho)Fy	0.06556108621862955	0.0625
FFA/PPA	7	(Ho)Fo	0.003572625786139216	0.0625
FFA/PPA	7	(Hy)Fy	-0.022581233915779944	0.0625
FFA/PPA	7	(Hy)Fo	-0.0368467697957562	0.0
FFA/PPA	8	(Fo)Hy	-0.05811538013276145	0.1875
FFA/PPA	8	(Fo)Ho	-0.04013464072998611	0.0
FFA/PPA	8	(Fy)Hy	-0.030079128648502353	0.125
FFA/PPA	8	(Fy)Ho	-0.03762019829311403	0.0
FFA/PPA	8	(Ho)Fy	0.11377691559066364	0.125
FFA/PPA	8	(Ho)Fo	-0.003699959159527545	0.0625
FFA/PPA	8	(Hy)Fy	-0.0779619544673581	0.0625
FFA/PPA	8	(Hy)Fo	-0.08309965186694016	0.0625
FFA/PPA	9	(Fo)Hy	0.03279957525086219	0.0
FFA/PPA	9	(Fo)Ho	-0.01943437511716188	0.0625
FFA/PPA	9	(Fy)Hy	-0.06898185518511366	0.0625
FFA/PPA	9	(Fy)Ho	-0.10236444578023282	0.0
FFA/PPA	9	(Ho)Fy	0.07821244638308672	0.0
FFA/PPA	9	(Ho)Fo	0.005333480867938939	0.0625
FFA/PPA	9	(Hy)Fy	-0.07810611987063674	0.0625
FFA/PPA	9	(Hy)Fo	-0.031751491392408904	0.0625
FFA/PPA	10	(Fo)Hy	0.009293942033406461	0.25
FFA/PPA	10	(Fo)Ho	-0.006833322148251964	0.125
FFA/PPA	10	(Fy)Hy	-0.019907625890530457	0.1875
FFA/PPA	10	(Fy)Ho	-0.005112842622828906	0.125
FFA/PPA	10	(Ho)Fy	-0.0036505816061206966	0.0625
FFA/PPA	10	(Ho)Fo	-0.03450757234060471	0.0625
FFA/PPA	10	(Hy)Fy	-0.02012486447351675	0.125
FFA/PPA	10	(Hy)Fo	-0.03629738613421786	0.1875
FFA/PPA	11	(Fo)Hy	-0.01943685593245236	0.0
FFA/PPA	11	(Fo)Ho	0.007437712603741731	0.0
FFA/PPA	11	(Fy)Hy	0.0019479252173619146	0.0625
FFA/PPA	11	(Fy)Ho	-0.002372147651405823	0.0625
FFA/PPA	11	(Ho)Fy	-0.07146081229832174	0.0
FFA/PPA	11	(Ho)Fo	-0.07632203800707849	0.0
FFA/PPA	11	(Hy)Fy	-0.05939801249970229	0.0
FFA/PPA	11	(Hy)Fo	-0.030500219681088486	0.125
FFA/PPA	12	(Fo)Hy	0.058574631570141394	0.0
FFA/PPA	12	(Fo)Ho	-0.04830071610421248	0.0
FFA/PPA	12	(Fy)Hy	-0.02251230762906216	0.0
FFA/PPA	12	(Fy)Ho	-0.021595270135977514	0.0625
FFA/PPA	12	(Ho)Fy	0.0477631275174529	0.0
FFA/PPA	12	(Ho)Fo	-0.025785145195633664	0.125
FFA/PPA	12	(Hy)Fy	-0.04697924353148976	0.0625
FFA/PPA	12	(Hy)Fo	0.03435944376535949	0.0625
FFA/PPA	14	(Fo)Hy	0.028408707037020035	0.0
FFA/PPA	14	(Fo)Ho	0.06251955777471732	0.0
FFA/PPA	14	(Fy)Hy	-0.05343185447216109	0.0
FFA/PPA	14	(Fy)Ho	0.08249281234123787	0.0625
FFA/PPA	14	(Ho)Fy	0.058878821191842505	0.0625
FFA/PPA	14	(Ho)Fo	0.005844421544200814	0.0
FFA/PPA	14	(Hy)Fy	-0.09184130794217338	0.0
FFA/PPA	14	(Hy)Fo	-0.0805328884763942	0.0
FFA/PPA	15	(Fo)Hy	-0.05183955411468928	0.0
FFA/PPA	15	(Fo)Ho	-0.0031883438189497302	0.0
FFA/PPA	15	(Fy)Hy	0.001418788726840459	0.0625
FFA/PPA	15	(Fy)Ho	-0.01260287555279648	0.0
FFA/PPA	15	(Ho)Fy	-0.023383141101802084	0.0
FFA/PPA	15	(Ho)Fo	0.005509627624006275	0.0
FFA/PPA	15	(Hy)Fy	0.0506651893835065	0.0625
FFA/PPA	15	(Hy)Fo	-0.0061903176759418406	0.0625
FFA/PPA	16	(Fo)Hy	0.03921662601108873	0.1875
FFA/PPA	16	(Fo)Ho	0.0009478677488595983	0.0
FFA/PPA	16	(Fy)Hy	0.004631599923567784	0.0
FFA/PPA	16	(Fy)Ho	-0.028666431155845967	0.0625
FFA/PPA	16	(Ho)Fy	-0.011157830271840037	0.0625
FFA/PPA	16	(Ho)Fo	-0.033058873903494906	0.125
FFA/PPA	16	(Hy)Fy	-0.07488766217425008	0.125
FFA/PPA	16	(Hy)Fo	-0.047653750715255544	0.1875
FFA/PPA	17	(Fo)Hy	0.06111895993272223	0.125
FFA/PPA	17	(Fo)Ho	-0.02933307029451454	0.0625
FFA/PPA	17	(Fy)Hy	0.024273928345870693	0.0
FFA/PPA	17	(Fy)Ho	0.00788042983371692	0.0625
FFA/PPA	17	(Ho)Fy	0.0036962611523031737	0.0
FFA/PPA	17	(Ho)Fo	-0.060311125576681245	0.25
FFA/PPA	17	(Hy)Fy	-0.06266912575616332	0.0625
FFA/PPA	17	(Hy)Fo	0.015626920202542565	0.1875
FFA/PPA	18	(Fo)Hy	-0.007569804428635877	0.125
FFA/PPA	18	(Fo)Ho	0.01005462350513123	0.0
FFA/PPA	18	(Fy)Hy	-0.0850503540577982	0.0
FFA/PPA	18	(Fy)Ho	-0.0753567215103833	0.0625
FFA/PPA	18	(Ho)Fy	-0.01900883262156446	0.0
FFA/PPA	18	(Ho)Fo	-0.03188283919631167	0.0625
FFA/PPA	18	(Hy)Fy	-0.022550079816447997	0.0
FFA/PPA	18	(Hy)Fo	-0.09162238986646665	0.1875
FFA/PPA	20	(Fo)Hy	-0.07019750993030495	0.25
FFA/PPA	20	(Fo)Ho	0.001502784851750532	0.0625
FFA/PPA	20	(Fy)Hy	-0.05147231394570441	0.0
FFA/PPA	20	(Fy)Ho	-0.04285490498446633	0.125
FFA/PPA	20	(Ho)Fy	-0.03247760955605898	0.25
FFA/PPA	20	(Ho)Fo	-0.011445812963935358	0.125
FFA/PPA	20	(Hy)Fy	-0.01702024475523273	0.0
FFA/PPA	20	(Hy)Fo	-0.02312427620956405	0.125
FFA/PPA	21	(Fo)Hy	-0.012832868011878048	0.125
FFA/PPA	21	(Fo)Ho	0.03687694677346097	0.0625
FFA/PPA	21	(Fy)Hy	-0.09273150868719514	0.0625
FFA/PPA	21	(Fy)Ho	-0.11261707880065153	0.1875
FFA/PPA	21	(Ho)Fy	0.03211775173896838	0.0625
FFA/PPA	21	(Ho)Fo	0.030804536026863	0.125
FFA/PPA	21	(Hy)Fy	0.004512643746163568	0.0
FFA/PPA	21	(Hy)Fo	0.0145780525640028	0.0
FFA/PPA	22	(Fo)Hy	0.027396510871031926	0.0625
FFA/PPA	22	(Fo)Ho	0.003943353273273762	0.0625
FFA/PPA	22	(Fy)Hy	0.034738995441907554	0.0625
FFA/PPA	22	(Fy)Ho	-0.00989624591763853	0.125
FFA/PPA	22	(Ho)Fy	-0.006040994202314012	0.0625
FFA/PPA	22	(Ho)Fo	0.047720556730699755	0.0625
FFA/PPA	22	(Hy)Fy	-0.06548631757527835	0.1875
FFA/PPA	22	(Hy)Fo	-0.03841834169735901	0.0625
FFA/PPA	23	(Fo)Hy	0.021207022939626702	0.0625
FFA/PPA	23	(Fo)Ho	0.0050352348865618166	0.0
FFA/PPA	23	(Fy)Hy	0.007660977918750921	0.0625
FFA/PPA	23	(Fy)Ho	-0.013325359486847248	0.0625
FFA/PPA	23	(Ho)Fy	0.012632575888797265	0.0
FFA/PPA	23	(Ho)Fo	0.04593827263912259	0.0
FFA/PPA	23	(Hy)Fy	0.01570524953935097	0.0625
FFA/PPA	23	(Hy)Fo	-0.05622199521449993	0.0625
FFA/PPA	24	(Fo)Hy	0.04646806018194876	0.0625
FFA/PPA	24	(Fo)Ho	0.07248627542066924	0.1875
FFA/PPA	24	(Fy)Hy	0.04187365871286636	0.0625
FFA/PPA	24	(Fy)Ho	0.041983531594236026	0.0625
FFA/PPA	24	(Ho)Fy	-0.00867957185544065	0.0625
FFA/PPA	24	(Ho)Fo	-0.04609047253161658	0.125
FFA/PPA	24	(Hy)Fy	0.006079203001375277	0.0625
FFA/PPA	24	(Hy)Fo	0.04744494519827028	0.1875
FFA/PPA	25	(Fo)Hy	-0.04707135606489915	0.1875
FFA/PPA	25	(Fo)Ho	-0.06618334615470145	0.0
FFA/PPA	25	(Fy)Hy	-0.08025122477787565	0.0
FFA/PPA	25	(Fy)Ho	-0.058263213887348037	0.0
FFA/PPA	25	(Ho)Fy	-0.10534599335073586	0.0
FFA/PPA	25	(Ho)Fo	0.029695465336220982	0.0625
FFA/PPA	25	(Hy)Fy	-0.07071838571527563	0.0625
FFA/PPA	25	(Hy)Fo	-0.04845797481570868	0.0625
FFA/PPA	26	(Fo)Hy	0.0164794238377445	0.0
FFA/PPA	26	(Fo)Ho	0.01830829287738646	0.0625
FFA/PPA	26	(Fy)Hy	-0.022157803899527775	0.125
FFA/PPA	26	(Fy)Ho	-0.013579649740810683	0.0625
FFA/PPA	26	(Ho)Fy	0.0016431973470715671	0.0625
FFA/PPA	26	(Ho)Fo	-0.03494325677446912	0.0625
FFA/PPA	26	(Hy)Fy	-0.06145179219622944	0.0
FFA/PPA	26	(Hy)Fo	-0.06918826197476505	0.0
FFA/PPA	27	(Fo)Hy	0.02517992772138506	0.0625
FFA/PPA	27	(Fo)Ho	-0.016628723869176756	0.25
FFA/PPA	27	(Fy)Hy	-0.02798840870024811	0.0625
FFA/PPA	27	(Fy)Ho	-0.04214753656306729	0.0
FFA/PPA	27	(Ho)Fy	-0.005155515808538241	0.125
FFA/PPA	27	(Ho)Fo	0.041979503324775416	0.125
FFA/PPA	27	(Hy)Fy	-0.05968580884382887	0.25
FFA/PPA	27	(Hy)Fo	-0.07735592233080696	0.25
FFA/PPA	28	(Fo)Hy	0.051319960993491065	0.125
FFA/PPA	28	(Fo)Ho	0.021472182327569606	0.0
FFA/PPA	28	(Fy)Hy	-0.05409181744414837	0.0
FFA/PPA	28	(Fy)Ho	-0.06116172773761244	0.0
FFA/PPA	28	(Ho)Fy	0.01681923537783637	0.0625
FFA/PPA	28	(Ho)Fo	-0.04499448657675356	0.0
FFA/PPA	28	(Hy)Fy	-0.005729494077292631	0.0625
FFA/PPA	28	(Hy)Fo	-0.004409327329750638	0.0
FFA/PPA	29	(Fo)Hy	0.11022456157349747	0.0
FFA/PPA	29	(Fo)Ho	0.06765895146614453	0.0
FFA/PPA	29	(Fy)Hy	-0.054178270091740255	0.125
FFA/PPA	29	(Fy)Ho	-0.001510401537471599	0.125
FFA/PPA	29	(Ho)Fy	0.0034850963081355284	0.0
FFA/PPA	29	(Ho)Fo	-0.027651628627897884	0.0
FFA/PPA	29	(Hy)Fy	-5.327956355135612e-05	0.0625
FFA/PPA	29	(Hy)Fo	-0.14743628594497285	0.125
FFA/PPA	30	(Fo)Hy	0.031051219546641466	0.0
FFA/PPA	30	(Fo)Ho	-0.049547473538287076	0.125
FFA/PPA	30	(Fy)Hy	0.00959700359668815	0.1875
FFA/PPA	30	(Fy)Ho	-0.05241223705651743	0.125
FFA/PPA	30	(Ho)Fy	0.04417307294893315	0.25
FFA/PPA	30	(Ho)Fo	-0.034926867124566816	0.125
FFA/PPA	30	(Hy)Fy	-0.04111087863419686	0.0625
FFA/PPA	30	(Hy)Fo	-0.00742960081709534	0.0625
dlPFC	1	(Fo)Hy	-0.05762635632833264	0.1875
dlPFC	1	(Fo)Ho	-0.008801980323974433	0.0625
dlPFC	1	(Fy)Hy	-0.03032059141347298	0.125
dlPFC	1	(Fy)Ho	-0.0022731155650470482	0.125
dlPFC	1	(Ho)Fy	-0.04702982760895848	0.0
dlPFC	1	(Ho)Fo	-0.01914533049869227	0.0
dlPFC	1	(Hy)Fy	0.030397261973693794	0.1875
dlPFC	1	(Hy)Fo	0.06763589783218332	0.0625
dlPFC	2	(Fo)Hy	-0.05400039014732868	0.0
dlPFC	2	(Fo)Ho	-0.005952000523581409	0.0
dlPFC	2	(Fy)Hy	-0.027173523834633624	0.0
dlPFC	2	(Fy)Ho	0.008132203999959738	0.0
dlPFC	2	(Ho)Fy	-0.06484638635017666	0.0
dlPFC	2	(Ho)Fo	-0.05793551825124674	0.125
dlPFC	2	(Hy)Fy	-0.012952381029466534	0.0
dlPFC	2	(Hy)Fo	0.07334061318175396	0.0
dlPFC	3	(Fo)Hy	0.020311538675875408	0.125
dlPFC	3	(Fo)Ho	-0.0324566445149983	0.1875
dlPFC	3	(Fy)Hy	0.026291655665429396	0.0
dlPFC	3	(Fy)Ho	-0.054201048253996006	0.0625
dlPFC	3	(Ho)Fy	-0.04305925032643791	0.0
dlPFC	3	(Ho)Fo	-0.030704183517342762	0.125
dlPFC	3	(Hy)Fy	-0.05159188064113323	0.0625
dlPFC	3	(Hy)Fo	-0.017918882799320655	0.0625
dlPFC	4	(Fo)Hy	-0.07633565879679699	0.0625
dlPFC	4	(Fo)Ho	0.0017929741455445123	0.0625
dlPFC	4	(Fy)Hy	0.04159385565901809	0.0
dlPFC	4	(Fy)Ho	-0.06268899682164056	0.0625
dlPFC	4	(Ho)Fy	0.005246724746947904	0.125
dlPFC	4	(Ho)Fo	-0.011246987106309	0.125
dlPFC	4	(Hy)Fy	-0.0007838492524629721	0.0
dlPFC	4	(Hy)Fo	-0.043248531272212426	0.125
dlPFC	5	(Fo)Hy	-0.03858851378463498	0.25
dlPFC	5	(Fo)Ho	0.016649835193569267	0.0625
dlPFC	5	(Fy)Hy	-0.01066767747436784	0.125
dlPFC	5	(Fy)Ho	-0.005802202120549525	0.0625
dlPFC	5	(Ho)Fy	0.032576178420394744	0.125
dlPFC	5	(Ho)Fo	-0.1049719027524549	0.0625
dlPFC	5	(Hy)Fy	-0.05866454245779876	0.0
dlPFC	5	(Hy)Fo	-0.005260908734325229	0.0625
dlPFC	7	(Fo)Hy	-0.008752548675889274	0.125
dlPFC	7	(Fo)Ho	-0.08169305494175083	0.0625
dlPFC	7	(Fy)Hy	-0.07253719130537406	0.0625
dlPFC	7	(Fy)Ho	-0.02042992000573005	0.25
dlPFC	7	(Ho)Fy	-0.06310915320046123	0.0625
dlPFC	7	(Ho)Fo	-0.01440998143946396	0.0625
dlPFC	7	(Hy)Fy	-0.11916061324947294	0.0625
dlPFC	7	(Hy)Fo	-0.06362132564703041	0.0
dlPFC	8	(Fo)Hy	-0.10643912270040184	0.1875
dlPFC	8	(Fo)Ho	0.012705784448768425	0.0
dlPFC	8	(Fy)Hy	-0.053208421552259764	0.125
dlPFC	8	(Fy)Ho	-0.04445808913814599	0.0
dlPFC	8	(Ho)Fy	-0.007870675114474304	0.125
dlPFC	8	(Ho)Fo	0.003456665600335035	0.0625
dlPFC	8	(Hy)Fy	-0.04963392742962859	0.0625
dlPFC	8	(Hy)Fo	-0.04602837444177876	0.0625
dlPFC	9	(Fo)Hy	-0.05400232502601479	0.0
dlPFC	9	(Fo)Ho	-0.06238431083290773	0.0625
dlPFC	9	(Fy)Hy	-0.04031928563571499	0.0625
dlPFC	9	(Fy)Ho	-0.026765401892218346	0.0
dlPFC	9	(Ho)Fy	-0.0751199688423733	0.0
dlPFC	9	(Ho)Fo	-0.032068310610506384	0.0625
dlPFC	9	(Hy)Fy	-0.050708486803304725	0.0625
dlPFC	9	(Hy)Fo	-0.05801237797203768	0.0625
dlPFC	10	(Fo)Hy	-0.014472464542501916	0.25
dlPFC	10	(Fo)Ho	-0.029079044947579326	0.125
dlPFC	10	(Fy)Hy	-0.09205493414963432	0.1875
dlPFC	10	(Fy)Ho	-0.004284762292168502	0.125
dlPFC	10	(Ho)Fy	-0.028425623378854604	0.0625
dlPFC	10	(Ho)Fo	0.03344685763958505	0.0625
dlPFC	10	(Hy)Fy	-0.028749110270124136	0.125
dlPFC	10	(Hy)Fo	-0.05561713529608224	0.1875
dlPFC	11	(Fo)Hy	0.008767715143936254	0.0
dlPFC	11	(Fo)Ho	0.017133477324735476	0.0
dlPFC	11	(Fy)Hy	0.025307385184731752	0.0625
dlPFC	11	(Fy)Ho	-0.009876978132706837	0.0625
dlPFC	11	(Ho)Fy	-0.030415393386505882	0.0
dlPFC	11	(Ho)Fo	-0.041832557264046166	0.0
dlPFC	11	(Hy)Fy	-0.14187795516431345	0.0
dlPFC	11	(Hy)Fo	0.035003297126385904	0.125
dlPFC	12	(Fo)Hy	-0.028545956132164162	0.0
dlPFC	12	(Fo)Ho	-0.027795343301323445	0.0
dlPFC	12	(Fy)Hy	-0.002036204028163693	0.0
dlPFC	12	(Fy)Ho	-0.025380833069392386	0.0625
dlPFC	12	(Ho)Fy	-0.07616022087083925	0.0
dlPFC	12	(Ho)Fo	-0.04144843689735539	0.125
dlPFC	12	(Hy)Fy	-0.06312961144092932	0.0625
dlPFC	12	(Hy)Fo	-0.01058534993928797	0.0625
dlPFC	14	(Fo)Hy	-0.05822387410765179	0.0
dlPFC	14	(Fo)Ho	0.045094307033682	0.0
dlPFC	14	(Fy)Hy	0.05401749311737779	0.0
dlPFC	14	(Fy)Ho	0.04342838309479437	0.0625
dlPFC	14	(Ho)Fy	-0.0233489614803743	0.0625
dlPFC	14	(Ho)Fo	-0.052570196921468165	0.0
dlPFC	14	(Hy)Fy	-0.05990504763262047	0.0
dlPFC	14	(Hy)Fo	0.010270066457242339	0.0
dlPFC	15	(Fo)Hy	-0.018748683706589796	0.0
dlPFC	15	(Fo)Ho	-0.05004571380792839	0.0
dlPFC	15	(Fy)Hy	0.0063678333825079834	0.0625
dlPFC	15	(Fy)Ho	-0.07635391986070147	0.0
dlPFC	15	(Ho)Fy	-0.007546867960585979	0.0
dlPFC	15	(Ho)Fo	-0.03310044648984269	0.0
dlPFC	15	(Hy)Fy	0.04406072050770116	0.0625
dlPFC	15	(Hy)Fo	-0.015501244271009483	0.0625
dlPFC	16	(Fo)Hy	0.030968548598461418	0.1875
dlPFC	16	(Fo)Ho	0.002481971334304921	0.0
dlPFC	16	(Fy)Hy	0.001501377083017705	0.0
dlPFC	16	(Fy)Ho	-0.03306195101859608	0.0625
dlPFC	16	(Ho)Fy	-0.07306780539611407	0.0625
dlPFC	16	(Ho)Fo	-0.004202294191330947	0.125
dlPFC	16	(Hy)Fy	-0.08309348917063984	0.125
dlPFC	16	(Hy)Fo	0.007354135578064406	0.1875
dlPFC	17	(Fo)Hy	-0.019929800334281066	0.125
dlPFC	17	(Fo)Ho	0.06594507742738773	0.0625
dlPFC	17	(Fy)Hy	0.018100925126375567	0.0
dlPFC	17	(Fy)Ho	-0.01022373776255159	0.0625
dlPFC	17	(Ho)Fy	-0.01936029326974857	0.0
dlPFC	17	(Ho)Fo	-0.07826383697255757	0.25
dlPFC	17	(Hy)Fy	-0.021251096744945977	0.0625
dlPFC	17	(Hy)Fo	-0.028406184035778916	0.1875
dlPFC	18	(Fo)Hy	0.01244186108695224	0.125
dlPFC	18	(Fo)Ho	0.015602249292182018	0.0
dlPFC	18	(Fy)Hy	-0.07674441309563274	0.0
dlPFC	18	(Fy)Ho	-0.06391769755412732	0.0625
dlPFC	18	(Ho)Fy	-0.037813574143745955	0.0
dlPFC	18	(Ho)Fo	-0.02519000387016388	0.0625
dlPFC	18	(Hy)Fy	0.04139283744405639	0.0
dlPFC	18	(Hy)Fo	-0.054041830198338775	0.1875
dlPFC	20	(Fo)Hy	-0.12400866735050935	0.25
dlPFC	20	(Fo)Ho	0.02528926501526566	0.0625
dlPFC	20	(Fy)Hy	0.043780492461554535	0.0
dlPFC	20	(Fy)Ho	-0.062402057436574454	0.125
dlPFC	20	(Ho)Fy	0.02594581170003174	0.25
dlPFC	20	(Ho)Fo	-0.03560091352604314	0.125
dlPFC	20	(Hy)Fy	-0.017576422103701164	0.0
dlPFC	20	(Hy)Fo	-0.042162767152801144	0.125
dlPFC	21	(Fo)Hy	0.00039878346325297655	0.125
dlPFC	21	(Fo)Ho	-0.04127365454613255	0.0625
dlPFC	21	(Fy)Hy	-0.018453700294787146	0.0625
dlPFC	21	(Fy)Ho	-0.017838813678594235	0.1875
dlPFC	21	(Ho)Fy	-0.06668455636279043	0.0625
dlPFC	21	(Ho)Fo	-0.014943790999701884	0.125
dlPFC	21	(Hy)Fy	-0.03772005596189563	0.0
dlPFC	21	(Hy)Fo	-0.06803408257481214	0.0
dlPFC	22	(Fo)Hy	-0.021746851249326182	0.0625
dlPFC	22	(Fo)Ho	0.0165705692848536	0.0625
dlPFC	22	(Fy)Hy	-0.023804006987066195	0.0625
dlPFC	22	(Fy)Ho	0.004242497020701662	0.125
dlPFC	22	(Ho)Fy	0.016962368907262878	0.0625
dlPFC	22	(Ho)Fo	-0.042905735377559345	0.0625
dlPFC	22	(Hy)Fy	-0.010846503916481943	0.1875
dlPFC	22	(Hy)Fo	0.029138427434803944	0.0625
dlPFC	23	(Fo)Hy	-0.041624448824907345	0.0625
dlPFC	23	(Fo)Ho	0.016862806439024876	0.0
dlPFC	23	(Fy)Hy	0.006313941103528058	0.0625
dlPFC	23	(Fy)Ho	0.009658661237438845	0.0625
dlPFC	23	(Ho)Fy	0.01382863480456359	0.0
dlPFC	23	(Ho)Fo	0.03482155406239823	0.0
dlPFC	23	(Hy)Fy	-0.05441749145704948	0.0625
dlPFC	23	(Hy)Fo	0.0036969114253221722	0.0625
dlPFC	24	(Fo)Hy	0.013916117531408088	0.0625
dlPFC	24	(Fo)Ho	0.016485089034501514	0.1875
dlPFC	24	(Fy)Hy	0.0002516991962193358	0.0625
dlPFC	24	(Fy)Ho	-0.005902858580283901	0.0625
dlPFC	24	(Ho)Fy	0.013286180754227552	0.0625
dlPFC	24	(Ho)Fo	-0.034972221646347806	0.125
dlPFC	24	(Hy)Fy	0.026396450167735237	0.0625
dlPFC	24	(Hy)Fo	-0.056137872025193526	0.1875
dlPFC	25	(Fo)Hy	-0.05836479759293077	0.1875
dlPFC	25	(Fo)Ho	-0.11220961245641314	0.0
dlPFC	25	(Fy)Hy	0.04984090046215548	0.0
dlPFC	25	(Fy)Ho	-0.04441807434654779	0.0
dlPFC	25	(Ho)Fy	-0.070889788417029	0.0
dlPFC	25	(Ho)Fo	-0.02460382171737895	0.0625
dlPFC	25	(Hy)Fy	-0.0017413442165703727	0.0625
dlPFC	25	(Hy)Fo	-0.03357561432660265	0.0625
dlPFC	26	(Fo)Hy	-0.030804056909594042	0.0
dlPFC	26	(Fo)Ho	-0.019076919285780168	0.0625
dlPFC	26	(Fy)Hy	0.0022430986863859483	0.125
dlPFC	26	(Fy)Ho	-0.035868051974274937	0.0625
dlPFC	26	(Ho)Fy	-0.015693046195297516	0.0625
dlPFC	26	(Ho)Fo	-0.018994861153493338	0.0625
dlPFC	26	(Hy)Fy	-0.08443954773140917	0.0
dlPFC	26	(Hy)Fo	-0.031197064627419786	0.0
dlPFC	27	(Fo)Hy	-0.006354467862248409	0.0625
dlPFC	27	(Fo)Ho	-0.005517814362247823	0.25
dlPFC	27	(Fy)Hy	-0.0019712218901009634	0.0625
dlPFC	27	(Fy)Ho	-7.716842037492613e-05	0.0
dlPFC	27	(Ho)Fy	-0.11395975702049996	0.125
dlPFC	27	(Ho)Fo	0.056050396628499435	0.125
dlPFC	27	(Hy)Fy	0.028480158677663042	0.25
dlPFC	27	(Hy)Fo	-0.036116571447776205	0.25
dlPFC	28	(Fo)Hy	0.0379126708863286	0.125
dlPFC	28	(Fo)Ho	-0.03266810912947741	0.0
dlPFC	28	(Fy)Hy	-0.010897385326186528	0.0
dlPFC	28	(Fy)Ho	-0.03280670890870885	0.0
dlPFC	28	(Ho)Fy	0.009262252289552584	0.0625
dlPFC	28	(Ho)Fo	-0.018366692354939294	0.0
dlPFC	28	(Hy)Fy	-0.007610140740883205	0.0625
dlPFC	28	(Hy)Fo	0.02921314100095987	0.0
dlPFC	29	(Fo)Hy	0.015585057750331366	0.0
dlPFC	29	(Fo)Ho	-0.01996998344504425	0.0
dlPFC	29	(Fy)Hy	-0.016855341637086213	0.125
dlPFC	29	(Fy)Ho	-0.018349688742754965	0.125
dlPFC	29	(Ho)Fy	0.04579416234129566	0.0
dlPFC	29	(Ho)Fo	-0.07153325777516151	0.0
dlPFC	29	(Hy)Fy	0.001756418298293795	0.0625
dlPFC	29	(Hy)Fo	0.049362855094027186	0.125
